"spende","datum"
20,2017-09-20
20,2017-09-20
100,2017-09-20
70,2017-09-20
100,2017-09-20
50,2017-09-20
100,2017-09-20
100,2017-09-20
500,2017-09-20
20,2017-09-20
50,2017-09-20
20,2017-09-20
20,2017-09-20
50,2017-09-20
50,2017-09-20
50,2017-09-20
20,2017-09-20
20,2017-09-20
200,2017-09-20
15,2017-09-20
10,2017-09-20
30,2017-09-20
100,2017-09-20
20,2017-09-20
30,2017-09-20
20,2017-09-20
30,2017-09-20
50,2017-09-20
50,2017-09-20
100,2017-09-20
20,2017-09-20
50,2017-09-20
30,2017-09-20
10,2017-09-20
50,2017-09-20
50,2017-09-20
100,2017-09-20
20,2017-09-20
100,2017-09-20
100,2017-09-20
10,2017-09-20
100,2017-09-20
1000,2017-09-20
30,2017-09-20
20,2017-09-20
50,2017-09-20
20,2017-09-20
200,2017-09-20
20,2017-09-20
20,2017-09-20
10,2017-09-20
100,2017-09-20
50,2017-09-20
50,2017-09-20
100,2017-09-20
50,2017-09-20
50,2017-09-20
20,2017-09-20
50,2017-09-20
50,2017-09-20
50,2017-09-20
150,2017-09-20
20,2017-09-20
20,2017-09-20
50,2017-09-20
20,2017-09-20
100,2017-09-20
100,2017-09-20
20,2017-09-20
20,2017-09-20
20,2017-09-20
100,2017-09-20
100,2017-09-20
20,2017-09-20
50,2017-09-20
100,2017-09-20
100,2017-09-20
50,2017-09-20
100,2017-09-20
60,2017-09-20
20,2017-09-20
15,2017-09-20
10,2017-09-20
200,2017-09-20
25,2017-09-20
30,2017-09-20
5,2017-09-20
10,2017-09-20
20,2017-09-20
10,2017-09-20
30,2017-09-20
10,2017-09-20
100,2017-09-20
200,2017-09-20
20,2017-09-20
10,2017-09-20
20,2017-09-20
50,2017-09-20
20,2017-09-20
10,2017-09-20
10,2017-09-20
30,2017-09-20
50,2017-09-20
20,2017-09-20
50,2017-09-20
50,2017-09-20
1000,2017-09-20
300,2017-09-20
20,2017-09-20
100,2017-09-20
200,2017-09-20
300,2017-09-20
25,2017-09-20
15,2017-09-20
10,2017-09-20
10,2017-09-20
10,2017-09-20
50,2017-09-20
10,2017-09-20
100,2017-09-20
50,2017-09-20
50,2017-09-20
10,2017-09-20
20,2017-09-20
50,2017-09-20
50,2017-09-20
200,2017-09-20
100,2017-09-20
50,2017-09-20
100,2017-09-20
20,2017-09-20
100,2017-09-20
100,2017-09-20
30,2017-09-20
20,2017-09-20
20,2017-09-20
10,2017-09-20
52,2017-09-20
10,2017-09-20
50,2017-09-20
10,2017-09-20
100,2017-09-20
60,2017-09-20
50,2017-09-20
20,2017-09-20
100,2017-09-20
50,2017-09-20
30,2017-09-20
10,2017-09-20
300,2017-09-20
